resume,company,industry,job_title,start_date,end_date
1524,Helix Energy,Engineering,"Manager, QHSSE / DPA",20120101,20161001
1524,Saipem Sonsub,Engineering,"Engineer, QHSSE / DPA",20100101,20111201
1524,Eastern Marine Services,Engineering,"Manager, QHSSE / DPA",20071201,20091201
1524,Gulf Engineering,Engineering,"Project Engineer, QHSSE",20040401,20071101
1524,Drager Safety Asia,Engineering,"Engineer, Service & Maintenance",20040301,20010101
1524,Republic of Singapore Air Force,Engineering,"Technician, Aircraft Systems",19950901,20001201
1522,SATS Catering Pte Ltd,Engineering,Maintenance Engineer,20150301,20161101
1522,Pepperl+Fuchs (Mfg) Pte Ltd,Engineering,Trainee Engineer,20100501,20150301
1522,ASM Technology Singapore Pte Ltd,Engineering,Technician,20040701,20150601
1522,Nanyang Polytechnic,Engineering,Development Technologist,20040201,20040601
1521,MINDEF ,Admin,Admin Supervisor (HR Dept),20150601,20170401
1521,PLC Industries Pte Ltd,Admin,Intern,20110301,20110501
1520,J B BODA & CO (S) PTE LTD,Finance,ACCOUNTS EXECUTIVE,20160901,20170401
1520,THE CHINA NAVIGATION GROUP,Finance,TRADE FINANCE ASSISTANT,20150801,20161201
1520,PATROL SUPERVISOR,Security,ASIAPAC BOOKS PTE. LTD,20140601,20150701
1520,CERTIS CISCO SECURITY PTE. LTD,Finance,ACCOUNTS ASSISTANT,20120601,20140501
1519,"SembCorp Marine Ltd, Singapore",Admin,Snr Human Resource Executive,20120101,Present
1519,Jurong Shipyard Pte. Ltd,Engineering,Technical Instructor/ Assistant Engineer (HR),20110101,20120101
1519,Singapore Technologies Aerospace Ltd,Engineering,Assistant Engineer,20080101,20110101
1518,LuxAsia Fragrance Promoter,Sales,Promoter,20090101,20090601
1518,UOB Bank,Admin,application processing associate,20110801,20120201
1518,Dupont,Admin,Logistics associate,20110701,20111201
1518,Institute of Mental Health,Admin,Doctor's associate,20150201,20150501
1517,Wiscloud Technology Pte Ltd,Sales,Business Development Executive,20160701,20170201
1517,Analytical Laboratories (Singapore) Pte. Ltd,Biotech,Intern Lab Analyst,20140501,20140701
1517,Sony Electronics (Singapore) Pte. Ltd,Engineering,Product Consultant,20150601,20150801
1516,Adelphi Digital,Engineering,Project Manager,20161001,20170301
1516,KPMG Advisory Pte Ltd,Engineering,"Risk, Compliance and Internal Audit Consultant",20141101,20160901
1516,Ernst & Young Advisory LLP,Engineering,Business Risk Advisory Consultant,20120301,20141001
1515,Tetra Pak SEA Pte Ltd,Engineering,Solution Manager,20120301,present
1515,Singapore Community Hospital,Engineering,Solution Manager,20110401,20120301
1515,NEC-Obtech Asia Pacific Pte Ltd,Engineering,Solution Manager,20090101,20110301
1515,Sony Electronics Asia Pacific,Engineering,Solution Manager,20080501,20081201
